SIGLO,AÑO,CALIDADES,GENERO,TOTAL
XVII,1610,MESTIZA,F,0
XVII,1610,MESTIZA,M,0
XVII,1610,MORISCA,F,0
XVII,1610,MORISCA,M,0
XVII,1610,MULATA,F,0
XVII,1610,MULATA,M,0
XVII,1610,NEGRA,F,0
XVII,1610,NEGRA,M,0
XVII,1610,SIN_CATEGORÍA,F,0
XVII,1610,SIN_CATEGORÍA,M,0
XVII,1611,CASTIZA,F,0
XVII,1611,CASTIZA,M,0
XVII,1611,ESPAÑOLA,F,0
XVII,1611,ESPAÑOLA,M,0
XVII,1611,INDIA,F,0
XVII,1611,INDIA,M,0
XVII,1611,MESTIZA,F,0
XVII,1611,MESTIZA,M,0
XVII,1611,MORISCA,F,0
XVII,1611,MORISCA,M,0
XVII,1611,MULATA,F,0
XVII,1611,MULATA,M,0
XVII,1611,NEGRA,F,0
XVII,1611,NEGRA,M,0
XVII,1611,SIN_CATEGORÍA,F,0
XVII,1611,SIN_CATEGORÍA,M,0
XVII,1612,CASTIZA,F,0
XVII,1612,CASTIZA,M,0
XVII,1612,ESPAÑOLA,F,0
XVII,1612,ESPAÑOLA,M,0
XVII,1612,INDIA,F,0
XVII,1612,INDIA,M,0
XVII,1612,MESTIZA,F,0
XVII,1612,MESTIZA,M,0
XVII,1612,MORISCA,F,0
XVII,1612,MORISCA,M,0
XVII,1612,MULATA,F,0
XVII,1612,MULATA,M,0
XVII,1612,NEGRA,F,0
XVII,1612,NEGRA,M,0
XVII,1612,SIN_CATEGORÍA,F,0
XVII,1612,SIN_CATEGORÍA,M,0
XVII,1613,CASTIZA,F,0
XVII,1613,CASTIZA,M,0
XVII,1613,ESPAÑOLA,F,0
XVII,1613,ESPAÑOLA,M,0
XVII,1613,INDIA,F,0
XVII,1613,INDIA,M,0
XVII,1613,MESTIZA,F,0
XVII,1613,MESTIZA,M,0
XVII,1613,MORISCA,F,0
XVII,1613,MORISCA,M,0
XVII,1613,MULATA,F,0
XVII,1613,MULATA,M,0
XVII,1613,NEGRA,F,0
XVII,1613,NEGRA,M,0
XVII,1613,SIN_CATEGORÍA,F,0
XVII,1613,SIN_CATEGORÍA,M,0
XVII,1614,CASTIZA,F,0
XVII,1614,CASTIZA,M,0
XVII,1614,ESPAÑOLA,F,0
XVII,1614,ESPAÑOLA,M,0
XVII,1614,INDIA,F,0
XVII,1614,INDIA,M,0
XVII,1614,MESTIZA,F,0
XVII,1614,MESTIZA,M,0
XVII,1614,MORISCA,F,0
XVII,1614,MORISCA,M,0
XVII,1614,MULATA,F,0
XVII,1614,MULATA,M,0
XVII,1614,NEGRA,F,0
XVII,1614,NEGRA,M,0
XVII,1614,SIN_CATEGORÍA,F,0
XVII,1614,SIN_CATEGORÍA,M,0
XVII,1615,CASTIZA,F,0
XVII,1615,CASTIZA,M,0
XVII,1615,ESPAÑOLA,F,0
XVII,1615,ESPAÑOLA,M,0
XVII,1615,INDIA,F,0
XVII,1615,INDIA,M,0
XVII,1615,MESTIZA,F,0
XVII,1615,MESTIZA,M,0
XVII,1615,MORISCA,F,0
XVII,1615,MORISCA,M,0
XVII,1615,MULATA,F,0
XVII,1615,MULATA,M,0
XVII,1615,NEGRA,F,0
XVII,1615,NEGRA,M,0
XVII,1615,SIN_CATEGORÍA,F,0
XVII,1615,SIN_CATEGORÍA,M,0
XVII,1616,CASTIZA,F,0
XVII,1616,CASTIZA,M,0
XVII,1616,ESPAÑOLA,F,0
XVII,1616,ESPAÑOLA,M,0
XVII,1616,INDIA,F,0
XVII,1616,INDIA,M,0
XVII,1616,MESTIZA,F,0
XVII,1616,MESTIZA,M,0
XVII,1616,MORISCA,F,0
XVII,1616,MORISCA,M,0
XVII,1616,MULATA,F,0
XVII,1616,MULATA,M,0
XVII,1616,NEGRA,F,0
XVII,1616,NEGRA,M,0
XVII,1616,SIN_CATEGORÍA,F,0
XVII,1616,SIN_CATEGORÍA,M,0
XVII,1617,CASTIZA,F,0
XVII,1617,CASTIZA,M,0
XVII,1617,ESPAÑOLA,F,0
XVII,1617,ESPAÑOLA,M,0
XVII,1617,INDIA,F,0
XVII,1617,INDIA,M,0
XVII,1617,MESTIZA,F,0
XVII,1617,MESTIZA,M,0
XVII,1617,MORISCA,F,0
XVII,1617,MORISCA,M,0
XVII,1617,MULATA,F,0
XVII,1617,MULATA,M,0
XVII,1617,NEGRA,F,0
XVII,1617,NEGRA,M,0
XVII,1617,SIN_CATEGORÍA,F,0
XVII,1617,SIN_CATEGORÍA,M,0
XVII,1618,CASTIZA,F,0
XVII,1618,CASTIZA,M,0
XVII,1618,ESPAÑOLA,F,0
XVII,1618,ESPAÑOLA,M,0
XVII,1618,INDIA,F,0
XVII,1618,INDIA,M,0
XVII,1618,MESTIZA,F,0
XVII,1618,MESTIZA,M,0
XVII,1618,MORISCA,F,0
XVII,1618,MORISCA,M,0
XVII,1618,MULATA,F,0
XVII,1618,MULATA,M,0
XVII,1618,NEGRA,F,0
XVII,1618,NEGRA,M,0
XVII,1618,SIN_CATEGORÍA,F,0
XVII,1618,SIN_CATEGORÍA,M,0
XVII,1619,CASTIZA,F,0
XVII,1619,CASTIZA,M,0
XVII,1619,ESPAÑOLA,F,0
XVII,1619,ESPAÑOLA,M,0
XVII,1619,INDIA,F,0
XVII,1619,INDIA,M,0
XVII,1619,MESTIZA,F,0
XVII,1619,MESTIZA,M,0
XVII,1619,MORISCA,F,0
XVII,1619,MORISCA,M,0
XVII,1619,MULATA,F,0
XVII,1619,MULATA,M,0
