SIGLO,AÑO,CALIDADES,GENERO,LEGITIMO,ILEGITIMO,TOTAL
XVII,1605,INDIA,F,0,0,0
XVII,1605,INDIA,F,,,0
XVII,1605,INDIA,M,0,0,0
XVII,1605,INDIA,M,,,0
XVII,1605,ESPAÑOLA,F,0,0,0
XVII,1605,ESPAÑOLA,F,,,0
XVII,1605,ESPAÑOLA,M,0,0,0
XVII,1605,ESPAÑOLA,M,,,0
XVII,1605,MESTIZA,F,0,0,0
XVII,1605,MESTIZA,F,,,0
XVII,1605,MESTIZA,M,0,0,0
XVII,1605,MESTIZA,M,,,0
XVII,1605,CASTIZA,F,0,0,0
XVII,1605,CASTIZA,F,,,0
XVII,1605,CASTIZA,M,0,0,0
XVII,1605,CASTIZA,M,,,0
XVII,1605,MORISCA,F,0,0,0
XVII,1605,MORISCA,F,,,0
XVII,1605,MORISCA,M,0,0,0
XVII,1605,MORISCA,M,,,0
XVII,1605,MULATA,F,0,0,0
XVII,1605,MULATA,F,,,0
XVII,1605,MULATA,M,0,0,0
XVII,1605,MULATA,M,,,0
XVII,1605,NEGRA,F,0,0,0
XVII,1605,NEGRA,F,,,0
XVII,1605,NEGRA,M,0,0,0
XVII,1605,NEGRA,M,,,0
XVII,1605,SIN_CATEGORÍA,F,0,0,0
XVII,1605,SIN_CATEGORÍA,F,,,0
XVII,1605,SIN_CATEGORÍA,M,0,0,0
XVII,1605,SIN_CATEGORÍA,M,,,0
XVII,1606,INDIA,F,0,0,0
XVII,1606,INDIA,F,,,0
XVII,1606,INDIA,M,0,0,0
XVII,1606,INDIA,M,,,0
XVII,1606,ESPAÑOLA,F,0,0,0
XVII,1606,ESPAÑOLA,F,,,0
XVII,1606,ESPAÑOLA,M,0,0,0
XVII,1606,ESPAÑOLA,M,,,0
XVII,1606,MESTIZA,F,0,0,0
XVII,1606,MESTIZA,F,,,0
XVII,1606,MESTIZA,M,0,0,0
XVII,1606,MESTIZA,M,,,0
XVII,1606,CASTIZA,F,0,0,0
XVII,1606,CASTIZA,F,,,0
XVII,1606,CASTIZA,M,0,0,0
XVII,1606,CASTIZA,M,,,0
XVII,1606,MORISCA,F,0,0,0
XVII,1606,MORISCA,F,,,0
XVII,1606,MORISCA,M,0,0,0
XVII,1606,MORISCA,M,,,0
XVII,1606,MULATA,F,0,0,0
XVII,1606,MULATA,F,,,0
XVII,1606,MULATA,M,0,0,0
XVII,1606,MULATA,M,,,0
XVII,1606,NEGRA,F,0,0,0
XVII,1606,NEGRA,F,,,0
XVII,1606,NEGRA,M,0,0,0
XVII,1606,NEGRA,M,,,0
XVII,1606,SIN_CATEGORÍA,F,0,0,0
XVII,1606,SIN_CATEGORÍA,F,,,0
XVII,1606,SIN_CATEGORÍA,M,0,0,0
XVII,1606,SIN_CATEGORÍA,M,,,0
XVII,1607,INDIA,F,0,0,0
XVII,1607,INDIA,F,,,0
XVII,1607,INDIA,M,0,0,0
XVII,1607,INDIA,M,,,0
XVII,1607,ESPAÑOLA,F,0,0,0
XVII,1607,ESPAÑOLA,F,,,0
XVII,1607,ESPAÑOLA,M,0,0,0
XVII,1607,ESPAÑOLA,M,,,0
XVII,1607,MESTIZA,F,0,0,0
XVII,1607,MESTIZA,F,,,0
XVII,1607,MESTIZA,M,0,0,0
XVII,1607,MESTIZA,M,,,0
XVII,1607,CASTIZA,F,0,0,0
XVII,1607,CASTIZA,F,,,0
XVII,1607,CASTIZA,M,0,0,0
XVII,1607,CASTIZA,M,,,0
XVII,1607,MORISCA,F,0,0,0
XVII,1607,MORISCA,F,,,0
XVII,1607,MORISCA,M,0,0,0
XVII,1607,MORISCA,M,,,0
XVII,1607,MULATA,F,0,0,0
XVII,1607,MULATA,F,,,0
XVII,1607,MULATA,M,0,0,0
XVII,1607,MULATA,M,,,0
XVII,1607,NEGRA,F,0,0,0
XVII,1607,NEGRA,F,,,0
XVII,1607,NEGRA,M,0,0,0
XVII,1607,NEGRA,M,,,0
XVII,1607,SIN_CATEGORÍA,F,0,0,0
XVII,1607,SIN_CATEGORÍA,F,,,0
XVII,1607,SIN_CATEGORÍA,M,0,0,0
XVII,1607,SIN_CATEGORÍA,M,,,0
XVII,1608,INDIA,F,0,0,0
XVII,1608,INDIA,F,,,0
XVII,1608,INDIA,M,0,0,0
XVII,1608,INDIA,M,,,0
XVII,1608,ESPAÑOLA,F,0,0,0
XVII,1608,ESPAÑOLA,F,,,0
XVII,1608,ESPAÑOLA,M,0,0,0
XVII,1608,ESPAÑOLA,M,,,0
XVII,1608,MESTIZA,F,0,0,0
XVII,1608,MESTIZA,F,,,0
XVII,1608,MESTIZA,M,0,0,0
XVII,1608,MESTIZA,M,,,0
XVII,1608,CASTIZA,F,0,0,0
XVII,1608,CASTIZA,F,,,0
XVII,1608,CASTIZA,M,0,0,0
XVII,1608,CASTIZA,M,,,0
XVII,1608,MORISCA,F,0,0,0
XVII,1608,MORISCA,F,,,0
XVII,1608,MORISCA,M,0,0,0
XVII,1608,MORISCA,M,,,0
XVII,1608,MULATA,F,0,0,0
XVII,1608,MULATA,F,,,0
XVII,1608,MULATA,M,0,0,0
XVII,1608,MULATA,M,,,0
XVII,1608,NEGRA,F,0,0,0
XVII,1608,NEGRA,F,,,0
XVII,1608,NEGRA,M,0,0,0
XVII,1608,NEGRA,M,,,0
XVII,1608,SIN_CATEGORÍA,F,0,0,0
XVII,1608,SIN_CATEGORÍA,F,,,0
XVII,1608,SIN_CATEGORÍA,M,0,0,0
XVII,1608,SIN_CATEGORÍA,M,,,0
XVII,1609,INDIA,F,0,0,0
XVII,1609,INDIA,F,,,0
XVII,1609,INDIA,M,0,0,0
XVII,1609,INDIA,M,,,0
XVII,1609,ESPAÑOLA,F,0,0,0
XVII,1609,ESPAÑOLA,F,,,0
XVII,1609,ESPAÑOLA,M,0,0,0
XVII,1609,ESPAÑOLA,M,,,0
XVII,1609,MESTIZA,F,0,0,0
XVII,1609,MESTIZA,F,,,0
XVII,1609,MESTIZA,M,0,0,0
XVII,1609,MESTIZA,M,,,0
XVII,1609,CASTIZA,F,0,0,0
XVII,1609,CASTIZA,F,,,0
XVII,1609,CASTIZA,M,0,0,0
XVII,1609,CASTIZA,M,,,0
XVII,1609,MORISCA,F,0,0,0
XVII,1609,MORISCA,F,,,0
XVII,1609,MORISCA,M,0,0,0
XVII,1609,MORISCA,M,,,0
XVII,1609,MULATA,F,0,0,0
XVII,1609,MULATA,F,,,0
XVII,1609,MULATA,M,0,0,0
XVII,1609,MULATA,M,,,0
XVII,1609,NEGRA,F,0,0,0
XVII,1609,NEGRA,F,,,0
XVII,1609,NEGRA,M,0,0,0
XVII,1609,NEGRA,M,,,0
XVII,1609,SIN_CATEGORÍA,F,0,0,0
XVII,1609,SIN_CATEGORÍA,F,,,0
XVII,1609,SIN_CATEGORÍA,M,0,0,0
XVII,1609,SIN_CATEGORÍA,M,,,0
XVII,1610,INDIA,F,0,0,0
XVII,1610,INDIA,F,,,0
XVII,1610,INDIA,M,0,0,0
XVII,1610,INDIA,M,,,0
XVII,1610,ESPAÑOLA,F,0,0,0
XVII,1610,ESPAÑOLA,F,,,0
XVII,1610,ESPAÑOLA,M,0,0,0
XVII,1610,ESPAÑOLA,M,,,0
XVII,1610,MESTIZA,F,0,0,0
XVII,1610,MESTIZA,F,,,0
XVII,1610,MESTIZA,M,0,0,0
XVII,1610,MESTIZA,M,,,0
XVII,1610,CASTIZA,F,0,0,0
XVII,1610,CASTIZA,F,,,0
XVII,1610,CASTIZA,M,0,0,0
XVII,1610,CASTIZA,M,,,0
XVII,1610,MORISCA,F,0,0,0
XVII,1610,MORISCA,F,,,0
XVII,1610,MORISCA,M,0,0,0
XVII,1610,MORISCA,M,,,0
XVII,1610,MULATA,F,0,0,0
XVII,1610,MULATA,F,,,0
XVII,1610,MULATA,M,0,0,0
XVII,1610,MULATA,M,,,0
XVII,1610,NEGRA,F,0,0,0
XVII,1610,NEGRA,F,,,0
XVII,1610,NEGRA,M,0,0,0
XVII,1610,NEGRA,M,,,0
XVII,1610,SIN_CATEGORÍA,F,0,0,0
XVII,1610,SIN_CATEGORÍA,F,,,0
XVII,1610,SIN_CATEGORÍA,M,0,0,0
XVII,1610,SIN_CATEGORÍA,M,,,0
XVII,1611,INDIA,F,0,0,0
XVII,1611,INDIA,F,,,0
XVII,1611,INDIA,M,0,0,0
XVII,1611,INDIA,M,,,0
XVII,1611,ESPAÑOLA,F,0,0,0
XVII,1611,ESPAÑOLA,F,,,0
XVII,1611,ESPAÑOLA,M,0,0,0
XVII,1611,ESPAÑOLA,M,,,0
XVII,1611,MESTIZA,F,0,0,0
XVII,1611,MESTIZA,F,,,0
XVII,1611,MESTIZA,M,0,0,0
XVII,1611,MESTIZA,M,,,0
XVII,1611,CASTIZA,F,0,0,0
XVII,1611,CASTIZA,F,,,0
XVII,1611,CASTIZA,M,0,0,0
XVII,1611,CASTIZA,M,,,0
XVII,1611,MORISCA,F,0,0,0
XVII,1611,MORISCA,F,,,0
XVII,1611,MORISCA,M,0,0,0
XVII,1611,MORISCA,M,,,0
XVII,1611,MULATA,F,0,0,0
XVII,1611,MULATA,F,,,0
XVII,1611,MULATA,M,0,0,0
XVII,1611,MULATA,M,,,0
XVII,1611,NEGRA,F,0,0,0
XVII,1611,NEGRA,F,,,0
XVII,1611,NEGRA,M,0,0,0
XVII,1611,NEGRA,M,,,0
XVII,1611,SIN_CATEGORÍA,F,0,0,0
XVII,1611,SIN_CATEGORÍA,F,,,0
XVII,1611,SIN_CATEGORÍA,M,0,0,0
XVII,1611,SIN_CATEGORÍA,M,,,0
XVII,1612,INDIA,F,0,0,0
XVII,1612,INDIA,F,,,0
XVII,1612,INDIA,M,0,0,0
XVII,1612,INDIA,M,,,0
XVII,1612,ESPAÑOLA,F,0,0,0
XVII,1612,ESPAÑOLA,F,,,0
XVII,1612,ESPAÑOLA,M,0,0,0
XVII,1612,ESPAÑOLA,M,,,0
XVII,1612,MESTIZA,F,0,0,0
XVII,1612,MESTIZA,F,,,0
XVII,1612,MESTIZA,M,0,0,0
XVII,1612,MESTIZA,M,,,0
XVII,1612,CASTIZA,F,0,0,0
XVII,1612,CASTIZA,F,,,0
XVII,1612,CASTIZA,M,0,0,0
XVII,1612,CASTIZA,M,,,0
XVII,1612,MORISCA,F,0,0,0
XVII,1612,MORISCA,F,,,0
XVII,1612,MORISCA,M,0,0,0
XVII,1612,MORISCA,M,,,0
XVII,1612,MULATA,F,0,0,0
XVII,1612,MULATA,F,,,0
XVII,1612,MULATA,M,0,0,0
XVII,1612,MULATA,M,,,0
XVII,1612,NEGRA,F,0,0,0
XVII,1612,NEGRA,F,,,0
XVII,1612,NEGRA,M,0,0,0
XVII,1612,NEGRA,M,,,0
XVII,1612,SIN_CATEGORÍA,F,0,0,0
XVII,1612,SIN_CATEGORÍA,F,,,0
XVII,1612,SIN_CATEGORÍA,M,0,0,0
XVII,1612,SIN_CATEGORÍA,M,,,0
XVII,1613,INDIA,F,0,0,0
XVII,1613,INDIA,F,,,0
XVII,1613,INDIA,M,0,0,0
XVII,1613,INDIA,M,,,0
XVII,1613,ESPAÑOLA,F,0,0,0
XVII,1613,ESPAÑOLA,F,,,0
XVII,1613,ESPAÑOLA,M,0,0,0
XVII,1613,ESPAÑOLA,M,,,0
XVII,1613,MESTIZA,F,0,0,0
XVII,1613,MESTIZA,F,,,0
XVII,1613,MESTIZA,M,0,0,0
XVII,1613,MESTIZA,M,,,0
XVII,1613,CASTIZA,F,0,0,0
XVII,1613,CASTIZA,F,,,0
XVII,1613,CASTIZA,M,0,0,0
XVII,1613,CASTIZA,M,,,0
XVII,1613,MORISCA,F,0,0,0
XVII,1613,MORISCA,F,,,0
XVII,1613,MORISCA,M,0,0,0
XVII,1613,MORISCA,M,,,0
XVII,1613,MULATA,F,0,0,0
XVII,1613,MULATA,F,,,0
XVII,1613,MULATA,M,0,0,0
XVII,1613,MULATA,M,,,0
XVII,1613,NEGRA,F,0,0,0
XVII,1613,NEGRA,F,,,0
XVII,1613,NEGRA,M,0,0,0
XVII,1613,NEGRA,M,,,0
XVII,1613,SIN_CATEGORÍA,F,0,0,0
XVII,1613,SIN_CATEGORÍA,F,,,0
XVII,1613,SIN_CATEGORÍA,M,0,0,0
XVII,1613,SIN_CATEGORÍA,M,,,0
XVII,1614,INDIA,F,0,0,0
XVII,1614,INDIA,F,,,0
XVII,1614,INDIA,M,0,0,0
XVII,1614,INDIA,M,,,0
